tid,table_name,column_name,sample_values
99,dataset_3.csv,Date,2004/3/10 2004/3/10 2004/3/10 2004/3/10 2004/3/10 2004/3/10 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11 2004/3/11
100,dataset_3.csv,Time,18:00:00 19:00:00 20:00:00 21:00:00 22:00:00 23:00:00 0:00:00 1:00:00 2:00:00 3:00:00 4:00:00 5:00:00 6:00:00 7:00:00 8:00:00 9:00:00 10:00:00 11:00:00 12:00:00 13:00:00
101,dataset_3.csv,CO(GT),2.6 2.0 2.2 2.2 1.6 1.2 1.2 1.0 0.9 0.6 -200.0 0.7 0.7 1.1 2.0 2.2 1.7 1.5 1.6 1.9
102,dataset_3.csv,PT08.S1(CO),1360 1292 1402 1376 1272 1197 1185 1136 1094 1010 1011 1066 1052 1144 1333 1351 1233 1179 1236 1286
103,dataset_3.csv,NMHC(GT),150 112 88 80 51 38 31 31 24 19 14 8 16 29 64 87 77 43 61 63
104,dataset_3.csv,C6H6(GT),11.9 9.4 9.0 9.2 6.5 4.7 3.6 3.3 2.3 1.7 1.3 1.1 1.6 3.2 8.0 9.5 6.3 5.0 5.2 7.3
105,dataset_3.csv,PT08.S2(NMHC),1046 955 939 948 836 750 690 672 609 561 527 512 553 667 900 960 827 762 774 869
106,dataset_3.csv,NOx(GT),166 103 131 172 131 89 62 62 45 -200 21 16 34 98 174 129 112 95 104 146
107,dataset_3.csv,PT08.S3(NOx),1056 1174 1140 1092 1205 1337 1462 1453 1579 1705 1818 1918 1738 1490 1136 1079 1218 1328 1301 1162
108,dataset_3.csv,NO2(GT),113 92 114 122 116 96 77 76 60 -200 34 28 48 82 112 101 98 92 95 112
109,dataset_3.csv,PT08.S4(NO2),1692 1559 1555 1584 1490 1393 1333 1333 1276 1235 1197 1182 1221 1339 1517 1583 1446 1362 1401 1537
110,dataset_3.csv,PT08.S5(O3),1268 972 1074 1203 1110 949 733 730 620 501 445 422 472 730 1102 1028 860 671 664 799
111,dataset_3.csv,T,13.6 13.3 11.9 11.0 11.2 11.2 11.3 10.7 10.7 10.3 10.1 11.0 10.5 10.2 10.8 10.5 10.8 10.5 9.5 8.3
112,dataset_3.csv,RH,48.9 47.7 54.0 60.0 59.6 59.2 56.8 60.0 59.7 60.2 60.5 56.2 58.1 59.6 57.4 60.6 58.4 57.9 66.8 76.4
113,dataset_3.csv,AH,0.7578 0.7255 0.7502 0.7867 0.7888 0.7848 0.7603 0.7702 0.7648 0.7517 0.7465 0.7366 0.7353 0.7417 0.7408 0.7691 0.7552 0.7352 0.7951 0.8393
