tid,table_name,column_name,sample_values
48,dataset_2-Guangzhou.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
49,dataset_2-Guangzhou.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
50,dataset_2-Guangzhou.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
51,dataset_2-Guangzhou.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
52,dataset_2-Guangzhou.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
53,dataset_2-Guangzhou.csv,season,4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
54,dataset_2-Guangzhou.csv,PM_City Station,48.0 63.0 71.0 79.0 78.0 81.0 98.0 96.0 88.0 66.0 58.0 64.0 55.0 50.0 64.0 89.0 84.0 77.0 75.0 79.0
55,dataset_2-Guangzhou.csv,PM_5th Middle School,78.0 70.0 66.0 69.0 51.0 39.0 37.0 38.0 34.0 34.0 28.0 49.0 60.0 50.0 52.0 52.0 51.0 57.0 69.0 53.0
56,dataset_2-Guangzhou.csv,PM_US Post,48.0 63.0 71.0 79.0 78.0 81.0 98.0 96.0 88.0 66.0 58.0 64.0 55.0 50.0 64.0 89.0 84.0 77.0 75.0 79.0
57,dataset_2-Guangzhou.csv,DEWP,9.4 10.2 10.4 10.2 10.4 10.3 10.0 10.4 10.3 10.5 10.9 10.8 10.7 10.9 10.8 10.8 11.0 11.5 11.8 12.1
58,dataset_2-Guangzhou.csv,HUMI,76.0 83.0 87.0 89.0 91.0 91.0 90.0 91.0 89.0 86.0 83.0 82.0 78.0 75.0 74.0 71.0 73.0 77.0 81.0 84.0
59,dataset_2-Guangzhou.csv,PRES,1015.1 1015.2 1015.0 1014.9 1014.6 1014.4 1014.8 1015.3 1015.3 1015.9 1016.0 1016.0 1015.3 1013.8 1012.3 1011.6 1011.8 1012.2 1012.2 1012.4
60,dataset_2-Guangzhou.csv,TEMP,13.5 13.0 12.5 12.0 11.8 11.7 11.6 11.8 12.1 12.8 13.7 13.8 14.5 15.3 15.4 16.1 15.8 15.5 15.0 14.8
61,dataset_2-Guangzhou.csv,cbwd,NW cv NW NW NE NW NW NW NE NW NE SE NE NE NE NE NE NW cv NE
62,dataset_2-Guangzhou.csv,Iws,0.8 0.5 0.6 1.4 0.6 1.4 2.5 3.7 1.2 1.2 0.9 0.6 0.9 2.0 3.3 4.6 5.3 0.8 0.0 0.7
63,dataset_2-Guangzhou.csv,precipitation,0.0 0.0 0.3 0.6 0.7 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64,dataset_2-Guangzhou.csv,Iprec,0.0 0.0 0.3 0.9 1.6 1.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
