tid,table_name,column_name,sample_values
0,dataset_1.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1,dataset_1.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
2,dataset_1.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3,dataset_1.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4,dataset_1.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
5,dataset_1.csv,pm2.5,129.0 148.0 159.0 181.0 138.0 109.0 105.0 124.0 120.0 132.0 140.0 152.0 148.0 164.0 158.0 154.0 159.0 164.0 170.0 149.0
6,dataset_1.csv,DEWP,-21 -21 -21 -21 -20 -19 -19 -19 -19 -20 -19 -18 -19 -18 -18 -18 -19 -18 -18 -17
7,dataset_1.csv,TEMP,-11.0 -12.0 -11.0 -14.0 -12.0 -10.0 -9.0 -9.0 -9.0 -8.0 -7.0 -5.0 -5.0 -3.0 -2.0 -1.0 -2.0 -3.0 -5.0 -4.0
8,dataset_1.csv,PRES,1021.0 1020.0 1019.0 1019.0 1018.0 1017.0 1017.0 1017.0 1017.0 1017.0 1017.0 1017.0 1015.0 1015.0 1014.0 1014.0 1015.0 1015.0 1016.0 1017.0
9,dataset_1.csv,cbwd,NW NW NW NW NW NW NW NW NW NW NW NW NW NW NW cv NW NW NE NW
10,dataset_1.csv,Iws,1.79 4.92 6.71 9.84 12.97 16.1 19.23 21.02 24.15 27.28 31.3 34.43 37.56 40.69 43.82 0.89 1.79 2.68 1.79 1.79
11,dataset_1.csv,Is,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12,dataset_1.csv,Ir,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
