tid,table_name,column_name,sample_values
13,dataset_2-Beijing.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
14,dataset_2-Beijing.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
15,dataset_2-Beijing.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16,dataset_2-Beijing.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17,dataset_2-Beijing.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
18,dataset_2-Beijing.csv,season,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
19,dataset_2-Beijing.csv,PM_Dongsi,25.0 22.0 20.0 24.0 27.0 29.0 31.0 27.0 39.0 53.0 69.0 74.0 79.0 84.0 108.0 149.0 188.0 207.0 243.0 229.0
20,dataset_2-Beijing.csv,PM_Dongsihuan,166.0 165.0 173.0 182.0 182.0 169.0 183.0 195.0 212.0 207.0 198.0 216.0 256.0 263.0 269.0 260.0 266.0 227.0 212.0 212.0
21,dataset_2-Beijing.csv,PM_Nongzhanguan,20.0 20.0 27.0 28.0 15.0 17.0 31.0 18.0 24.0 48.0 62.0 75.0 69.0 69.0 104.0 162.0 187.0 200.0 229.0 238.0
22,dataset_2-Beijing.csv,PM_US Post,129.0 148.0 159.0 181.0 138.0 109.0 105.0 124.0 120.0 132.0 140.0 152.0 148.0 164.0 158.0 154.0 159.0 164.0 170.0 149.0
23,dataset_2-Beijing.csv,DEWP,-21.0 -21.0 -21.0 -21.0 -20.0 -19.0 -19.0 -19.0 -19.0 -20.0 -19.0 -18.0 -19.0 -18.0 -18.0 -18.0 -19.0 -18.0 -18.0 -17.0
24,dataset_2-Beijing.csv,HUMI,43.0 47.0 43.0 55.0 51.0 47.0 44.0 44.0 44.0 37.0 37.0 35.0 32.0 30.0 28.0 26.0 25.0 30.0 35.0 35.0
25,dataset_2-Beijing.csv,PRES,1021.0 1020.0 1019.0 1019.0 1018.0 1017.0 1017.0 1017.0 1017.0 1017.0 1017.0 1017.0 1015.0 1015.0 1014.0 1014.0 1015.0 1015.0 1016.0 1017.0
26,dataset_2-Beijing.csv,TEMP,-11.0 -12.0 -11.0 -14.0 -12.0 -10.0 -9.0 -9.0 -9.0 -8.0 -7.0 -5.0 -5.0 -3.0 -2.0 -1.0 -2.0 -3.0 -5.0 -4.0
27,dataset_2-Beijing.csv,cbwd,NW NW NW NW NW NW NW NW NW NW NW NW NW NW NW cv NW NW NE NW
28,dataset_2-Beijing.csv,Iws,1.79 4.92 6.71 9.84 12.97 16.1 19.23 21.02 24.15 27.28 31.3 34.43 37.56 40.69 43.82 0.89 1.79 2.68 1.79 1.79
29,dataset_2-Beijing.csv,precipitation,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
30,dataset_2-Beijing.csv,Iprec,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
