tid,table_name,column_name,sample_values
31,dataset_2-Chengdu.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
32,dataset_2-Chengdu.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
33,dataset_2-Chengdu.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
34,dataset_2-Chengdu.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
35,dataset_2-Chengdu.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
36,dataset_2-Chengdu.csv,season,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
37,dataset_2-Chengdu.csv,PM_Caotangsi,121.0 134.0 203.0 217.0 220.0 214.0 209.0 228.0 219.0 225.0 192.0 159.0 168.0 143.0 113.0 85.0 93.0 117.0 118.0 122.0
38,dataset_2-Chengdu.csv,PM_Shahepu,138.0 159.0 162.0 157.0 170.0 225.0 244.0 242.0 277.0 281.0 284.0 181.0 184.0 162.0 151.0 146.0 147.0 164.0 165.0 171.0
39,dataset_2-Chengdu.csv,PM_US Post,46.0 69.0 98.0 89.0 66.0 86.0 80.0 73.0 84.0 75.0 152.0 75.0 75.0 75.0 76.0 74.0 69.0 70.0 74.0 81.0
40,dataset_2-Chengdu.csv,DEWP,4.0 4.0 4.0 3.0 2.0 2.0 2.0 2.0 2.0 3.0 4.0 5.0 4.0 2.0 3.0 2.0 1.0 1.0 2.0 3.0
41,dataset_2-Chengdu.csv,HUMI,81.2 86.99 86.99 86.89 86.79 93.13 93.13 86.79 93.13 93.19 86.99 81.34 70.88 57.51 57.77 53.81 50.08 50.08 61.51 66.05
42,dataset_2-Chengdu.csv,PRES,1022.0 1022.0 1021.0 1021.0 1021.0 1020.0 1020.0 1020.0 1021.0 1021.0 1021.0 1021.0 1020.0 1019.0 1016.9 1016.9 1016.9 1016.9 1018.0 1019.0
43,dataset_2-Chengdu.csv,TEMP,7.0 6.0 6.0 5.0 4.0 3.0 3.0 4.0 3.0 4.0 6.0 8.0 9.0 10.0 11.0 11.0 11.0 11.0 9.0 9.0
44,dataset_2-Chengdu.csv,cbwd,cv cv cv cv cv cv cv cv cv cv SW cv cv cv SE cv cv cv cv SE
45,dataset_2-Chengdu.csv,Iws,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 3.0 2.0 1.0 2.0 2.0 2.0 3.0
46,dataset_2-Chengdu.csv,precipitation,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
47,dataset_2-Chengdu.csv,Iprec,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
